player,week,minutes,goals,assists
Weston-McKennie,26,90,,
Weston-McKennie,27,74,,
Weston-McKennie,28,90,1,
Weston-McKennie,29,44,,
Weston-McKennie,30,0,,
Weston-McKennie,31,90,,
Weston-McKennie,32,90,1,
Weston-McKennie,33,90,,
Weston-McKennie,34,90,,
Giovanni-Reyna,26,0,,
Giovanni-Reyna,27,11,,
Giovanni-Reyna,28,18,,
Giovanni-Reyna,29,10,,
Giovanni-Reyna,30,22,,
Giovanni-Reyna,31,16,,
Giovanni-Reyna,33,81,,1
Giovanni-Reyna,34,65,,
John-Anthony-Brooks,26,90,,
John-Anthony-Brooks,27,90,,
John-Anthony-Brooks,28,82,,
John-Anthony-Brooks,29,90,,
John-Anthony-Brooks,30,90,,
John-Anthony-Brooks,31,90,,
John-Anthony-Brooks,32,90,,
John-Anthony-Brooks,33,90,,
John-Anthony-Brooks,34,74,,
Tyler-Adams,26,69,,
Tyler-Adams,27,30,,
Tyler-Adams,28,90,,
Tyler-Adams,29,31,,
Tyler-Adams,30,90,,
Tyler-Adams,31,22,,
Tyler-Adams,32,90,,
Tyler-Adams,33,45,,
Tyler-Adams,34,87,,
Josh-Sargent,26,19,,
Josh-Sargent,27,63,,
Josh-Sargent,28,74,,
Josh-Sargent,29,70,,
Josh-Sargent,24#,28,,
Josh-Sargent,30,76,,
Josh-Sargent,31,77,,2
Josh-Sargent,32,28,,
Josh-Sargent,33,90,,
Josh-Sargent,34,45,1,
Alfredo-Morales,26,22,,
Alfredo-Morales,27,90,,
Alfredo-Morales,28,9,,
Alfredo-Morales,29,57,,
Alfredo-Morales,30,24,,
Alfredo-Morales,31,9,,
Alfredo-Morales,32,82,,
Alfredo-Morales,33,0,,
Alfredo-Morales,34,28,,
Timothy-Chandler,26,16,,
Timothy-Chandler,27,45,,
Timothy-Chandler,28,9,1,
Timothy-Chandler,29,90,,
Timothy-Chandler,24#,0,,
Timothy-Chandler,30,45,,
Timothy-Chandler,31,3,,
Timothy-Chandler,32,9,,
Timothy-Chandler,33,63,,
Timothy-Chandler,34,0,,
Chris Richards,32,0,,
Chris Richards,33,6,,
